keyword,en,vi
congly,[],"['báo', 'thời_sự', 'tin_tức']"
coocent,[],[]
cootek,"['applications', 'apps']",[]
creative,"['headsets', 'quiz', 'products', 'technology', 'headphones']",[]
criteo,"['business', 'internet', 'technology', 'advertisements']",[]
crwdcntrl,[],['thông_tin']
cukcuk,"['tablets', 'devices']","['điện_thoại', 'máy', 'thiết_bị']"
dable,"['content', 'personalization']","['dữ_liệu', 'hệ_thống', 'công_nghệ']"
dahuap2p,[],"['điện_toán', 'thiết_bị', 'công_nghệ']"
dahuap2pcloud,[],[]
dantri,[],"['báo', 'thông_tin', 'tin_tức']"
demdex,[],['thông_tin']
diendandatdai,[],"['bất_động_sản', 'đất_đai', 'nhà_đất']"
dmca,"['copyright', 'act', 'law', 'states']",[]
dms,[],"['phần_mềm', 'hệ_thống']"
docbao,[],"['báo_điện_tử', 'báo', 'tin_tức']"
docbao24h,[],"['thể_thao', 'tin_tức']"
doubleverify,"['world', 'brand']",[]
dreamnews,"['entertainment', 'bollywood']",[]
duapps,"['solution', 'platform', 'friends', 'family']",[]
dugout,"['brands', 'chelsea', 'smoking', 'marijuana', 'bayern', 'agencies']",[]
e-planning,"['advertisers', 'publishers']",[]
easy4ipcloud,"['video', 'hardware']",[]
easyvideo,[],[]
eclick,[],"['tổng_thể', 'giải_pháp', 'hệ_thống']"
enternews,[],"['doanh_nghiệp', 'diễn_đàn', 'điện_tử']"
eportalmobile,"['questions', 'phone']","['đối_tác', 'công_ty', 'giao_diện']"
eset,"['individuals', 'businesses']","['phần_mềm', 'trụ_sở', 'công_ty']"
eva,[],"['đức_bà', 'phụ_nữ']"
everesttech,"['solutions', 'technology']",[]
evernote,[],[]
evnfc,[],"['chính_sách', 'doanh_nghiệp', 'tài_chính']"
ezvizlife,"['life', 'lenses', 'security', 'imaging']",['hành_trình']
facebook,"['photos', 'friends']","['ảnh', 'tài_khoản']"
fitbit,"['exercise', 'fitness']",[]
flurry,"['product', 'monetization', 'advertising', 'development']",[]
foursquare,"['mobile', 'search', 'data', 'platform']",[]
freefiremobile,"['browsing', 'phone']",[]
galle,[],"['nhật', 'cửa_hàng', 'hãng']"
garena,[],"['royale', 'trò_chơi', 'battle']"
gemius,"['technology', 'tools']",[]
genieessp,"['venture', 'advertising', 'technology', 'revenue', 'access', 'information']",[]
genieesspv,"['venture', 'advertising', 'technology', 'revenue', 'access', 'information']",[]
getpocket,"['reading', 'articles', 'pocket']",[]
giphy,"['database', 'search', 'stickers', 'gifs']",[]
gmail,"['ease', 'simplicity']","['giới_hạn', 'beta', 'chủ_sở_hữu']"
golfervn,[],"['putting', 'hybrids', 'escape']"
google,"['webpages', 'apps']","['dịch_vụ', 'quảng_cáo', 'trang_web']"
google-analytics,"['analytics', 'mobile', 'traffic', 'service']","['dịch_vụ', 'analytics', 'google']"
googlesyndication,[],"['quảng_cáo', 'adsense', 'lưu_lượng']"
googletagmanager,"['analytics', 'optimization']",[]
googletagservices,"['code', 'callback']",[]
googleuser,"['server', 'apis']",[]
googlevideo,"['videos', 'images', 'search', 'google']","['ngoại_tuyến', 'tài_khoản', 'máy_chủ']"
gotinder,"['google', 'systems', 'facebook', 'settings']",[]
grab,[],"['dịch_vụ', 'xe_hơi']"
grabtaxi,[],"['thành_phố', 'khu_vực', 'ngoại_thành']"
growingio,[],[]
habby,"['game', 'team']",[]
handcent,"['sms', 'ecard']",[]
heytapmobi,['argentine'],[]
hik-connect,"['download', 'app']",[]
hmu,[],"['huyện', 'đài', 'tỉnh']"
hn-ams,[],['amsterdam']
hocvienquany,[],['quân_y']
homecontrolplus,[],"['software', 'smart', 'brain']"
homecredit,[],"['tập_đoàn', 'lĩnh_vực', 'tài_chính']"
hopphat,"['investment', 'consultancy']","['nội_thất', 'công_nghiệp', 'công_ty']"
houzz,"['decor', 'design']",[]
iabtechlab,"['companies', 'tech', 'chain', 'brand']",[]
icloud,"['videos', 'photos']","['amazon', 'apple', 'security']"
icloud-,"['videos', 'photos']","['amazon', 'apple', 'security']"
ikeepapps,"['scan', 'preview']","['dữ_liệu', 'tốc_độ', 'nền_tảng']"
imgur,"['way', 'internet', 'entertainment', 'service', 'community', 'destination']","['schaaf', 'alan', 'ceo']"
incognitonetwork,"['device', 'network', 'broadband', 'service']",[]
infofinance,[],"['ngân_hàng', 'thông_tin', 'tài_chính']"
inmobi,"['platform', 'technology', 'data']",[]
inner-active,[],['thông_tin']
innity,"['marketing', 'advertising']",[]
insstoreweb,"['videos', 'photos']",[]
instagram,[],"['mike', 'kevin', 'krieger']"
intsig,"['app', 'technology', 'companies', 'android']",[]
ip-api,"['api', 'ip']",[]
isnssdk,[],['thông_tin']
javforme,"['porn', 'fuck']","['porn', 'more', 'watch']"
jivox,"['message', 'ads']",[]
jsdelivr,"['source', 'github', 'projects', 'wordpress']",[]
jwplayer,"['new', 'video', 'html5']",[]
kakao,"['items', 'store', 'talk', 'friends']",['thông_tin']
kaspersky-labs,"['services', 'security', 'moscow', 'russia']","['thông_tin', 'phần_mềm', 'kaspersky']"
kbcloud,"['service', 'agent', 'site', 'partner', 'cloud', 'backup', 'english', 'lot']",[]
kenh14,[],"['phim_ảnh', 'thời_trang', 'tình_yêu']"
ketqua,[],"['xổ_số', 'nam', 'cầu']"
kiagiaiphong,[],[]
king,"['locations', 'variety', 'games', 'players']","['thực_đơn', 'menu', 'bbq']"
kingsoft-office-service,"['ios', 'linux']","['presentation', 'wps', 'office']"
kisvn,[],"['tầng', 'nguyễn_thái_bình', 'tphcm']"
kotuo,[],"['nghề', 'cuộc_sống', 'thanh_thiếu_niên']"
ksmobile,"['peninsula', 'plaza']",[]
ku711,[],"['con_người', 'nhu_cầu', 'công_nghệ']"
laban,[],"['danh_bạ', 'la_bàn', 'công_cụ']"
laodong,[],"['xã_hội', 'kinh_tế', 'chính_trị']"
lastcallemail,"['code', 'questions', 'coupon', 'emails']",[]
lentainform,[],[]
lg,[],"['tập_đoàn', 'công_ty', 'corp']"
lichngaytot,[],"['status', 'nội_dung', 'trang_web']"
lichviet,[],"['ios', 'máy_tính', 'android']"
life360,"['families', 'country', 'services', 'technology']",[]
lijit,"['domain', 'inc']",[]
line-apps,"['smartphones', 'devices']","['store', 'apk', 'google']"
line-s,"['approach', 'axioms', 'games', 'play']",[]
linkedin,"['share', 'ideas', 'access', 'knowledge']","['doanh_thu', 'số_lượng', 'số']"
live,"['internet', 'livescore', 'service', 'hockey', 'soccer', 'baseball', 'fixtures', 'football']",[]
livechatinc,"['livechat', 'service', 'customer', 'chat']",[]
londonhanoihotel,"['hotel', 'apartment']",[]
loopme,"['analytics', 'technology']",[]
luatvietnam,[],"['luật', 'pháp_luật', 'quy_phạm_pháp_luật']"
lumi,[],"['giải_pháp', 'thiết_bị']"
machbird,"['publisher', 'interactive']",[]
majorworker,"['genus', 'ants']",[]
mapbox,"['times', 'applications', 'building', 'location']",[]
mard,"['language', 'film']","['phat', 'trien', 'nghiep']"
masstel,[],"['thị_trường', 'smartphone', 'giá']"
master,"['universities', 'film', 'thriller', 'colleges']",[]
mathtag,[],['thông_tin']
mbbank,[],"['doanh', 'dinh', 'hang']"
mbs,[],[]
mcafee,"['cybersecurity', 'security']","['capital', 'intel', 'công_ty']"
me,[],"['taylor', 'giai_điệu', 'little']"
media,[],"['máy_giặt', 'máy_tính', 'tivi']"
mediarithmics,"['approach', 'platform']",[]
mediaz,[],"['media', 'social', 'content']"
mepuzz,[],"['notification', 'automation', 'marketing']"
mgid,"['advertisers', 'publishers']",['tiền']
mi,[],['điện_thoại']
microsoft,"['powerpoint', 'onenote']","['dịch_vụ', 'thông_tin', 'phần_mềm']"
microsoftonline,"['services', 'dropbox', 'software', 'service']","['thông_tin', 'tình_huống', 'sự_cố']"
mipcm,"['software', 'video']",[]
mixpanel,"['product', 'business', 'company', 'customer']",[]
mnewsvn,[],"['gia_đình', 'đời_sống', 'xã_hội']"
mob,"['crime', 'desk', 'enforcement', 'office']",[]
moh,"['clinics', 'promotion', 'health']","['thông_tin', 'điện_tử', 'y_tế']"
monngonhomnay,[],"['cơm', 'hầm', 'kho']"
mopub,"['publishers', 'monetization']",[]
mox,"['world', 'generation']",[]
mparticle,"['systems', 'platform']",[]
msb,"['aud', 'chf']","['ngân_hàng', 'cổ_phần', 'thương_mại']"
mujoy,"['games', 'time']",[]
muk8199,[],['nút']
myclip,[],"['dịch_vụ', 'mxh', 'mạng']"
myendpoint,[],[]
nattepush,[],[]
naver,"['report', 'culture']","['dịch_vụ', 'nền_tảng', 'knowledge']"
nbtv,[],"['truyền_hình', 'đài_phát_thanh', 'ninh_bình']"
netcoresmartech,"['automation', 'personalization']",[]
netease,"['internet', 'entertainment', 'services', 'mobile', 'technology', 'desktop', 'inc']",[]
netflix,"['mobile', 'tablet']","['randolph', 'reed', 'california']"
nettruyen,[],"['truyện_tranh', 'thành_viên', 'truyện']"
news-host,"['anchorman', 'anchor']",[]
nflxvideo,"['internet', 'netflix']",[]
ngoisao,[],"['điện_ảnh', 'thời_trang', 'ca_nhạc']"
nguoiduatin,[],"['tháp', 'tầng', 'toà']"
nhipcaudautu,[],"['bất_động_sản', 'doanh_nghiệp', 'chứng_khoán']"
nimo,"['streaming', 'live']",[]
nld,[],['báo']
nohu79,[],[]
noithattvat,[],"['reserved', 'all', 'rights']"
ntp,"['ip', 'latency', 'synchronization', 'client', 'server']","['protocol', 'giao_thức', 'máy_tính']"
oath,"['wording', 'fact']",[]
office,"['powerpoint', 'microsoft']","['excel', 'onenote']"
office365,"['powerpoint', 'microsoft']",[]
oldrrb,[],[]
omtrdc,"['aggregation', 'analysis']",[]
onesignal,"['notifications', 'app']",[]
onthe,"['properties', 'holidays', 'travel', 'ecuador', 'market', 'hotels']",[]
opensignal,"['analytics', 'connectivity', 'mobile', 'network']",[]
openx,"['software', 'technology', 'content', 'ads']",[]
opera-mini,[],"['điện_thoại', 'điện_thoại_di_động', 'android']"
oppomobile,[],"['điện_thoại', 'điện_thoại_di_động', 'thương_hiệu']"
optimizely,"['product', 'software', 'companies', 'marketing']",[]
oto-hui,[],"['wikipedia', 'kiến_thức', 'công_nghệ']"
outbrain,"['services', 'employees', 'pages', 'products']",[]
outbrainimg,"['amplify', 'pages', 'links', 'size']",[]
parse,"['provider', 'backend', 'platform', 'source']",[]
pilotco2,[],"['hàng_hải', 'chuyên_ngành', 'trạm']"
playbuzz,"['quizzes', 'minister', 'trivia', 'israel']",[]
plo,[],"['pháp_luật', 'nhà_nước', 'xã_hội']"
pubmatic,"['publishing', 'company', 'technology', 'advertising']",[]
pubnub,"['chat', 'infrastructure', 'app', 'service']",[]
pushtimize,[],"['doanh_thu', 'quảng_cáo', 'nền_tảng']"
pushwoosh,"['strategies', 'marketing']",[]
qpic,"['bin', 'al', 'services', 'petroleum']",[]
qq,"['service', 'video', 'phone', 'chat']",['alexa']
quantserve,[],['thông_tin']
rakuten,"['chairman', 'electronics', 'ceo', 'clothing']","['xã', 'trụ_sở', 'nhật']"
rayjump,"['monetization', 'marketing']",[]
red88,[],"['đề', 'tiền', 'lô']"
rtbdemand,"['advertisers', 'brand']",[]
rubiconproject,"['company', 'technology', 'buying', 'firm']",[]
samsung,[],"['gia_dụng', 'điện_thoại_di_động', 'tivi']"
samsungapps,"['store', 'portal', 'apps', 'purchases', 'samsung']","['trò_chơi', 'thiết_bị']"
samsungcloud,"['pictures', 'documents']","['file', 'dữ_liệu', 'máy_tính']"
samsungcloudsolution,"['smart', 'care']",[]
samsunghealth,[],"['giấc_ngủ', 'chế_độ', 'sức_khoẻ']"
samsungiotcloud,"['services', 'electronics', 'samsung', 'partnerships']","['thời_đại', 'internet', 'things']"
samsungknowledge,"['principle', 'vision']",[]
saygames,"['park', 'mobile', 'games', 'location']",[]
scorecardresearch,"['products', 'companies']",[]
sendo,[],"['giá', 'laptop', 'thời_trang']"
sendpulse,"['delivery', 'platform']",[]
serving-sys,[],['thông_tin']
shazam,"['music', 'song']","['vai', 'câu', 'angel']"
shopeemobile,"['query', 'google']","['gia_dụng', 'điện_tử', 'thời_trang']"
sinch,"['voice', 'sms', 'sweden', 'service']",[]
sjc,[],"['địa_chỉ', 'tp', 'chi_nhánh']"
skydoor,[],"['trung_quốc', 'biển', 'tây']"
skype,"['mobile', 'messaging']","['mô_hình', 'chương_trình', 'chức_năng']"
soha,[],"['xã_hội', 'tin_tức', 'sự_kiện']"
sohatv,[],"['xã_hội', 'tin_tức', 'sự_kiện']"
solarbk,[],"['cấu_trúc', 'hoạt_động', 'công_ty']"
soundcloud,"['podcasters', 'sharing', 'artists', 'distribution']",[]
spotify,"['music', 'songs']","['ngành', 'khu_vực', 'công_nghiệp']"
spotxchange,"['content', 'video', 'ad', 'list', 'account', 'platform']",[]
ssa,"['benefits', 'security']","['saigon', 'tập_đoàn', 'thương_hiệu']"
startappservice,"['company', 'world']",[]
starwoodhotels,"['hospitality', 'hotels', 'luxury']",[]
steepto,"['banners', 'ads']",[]
stockprice,"['alerts', 'news']","['dữ_liệu', 'tính_năng', 'biểu_đồ']"
storeip-shopify,"['ecommerce', 'business']",[]
suckhoedoisong,[],"['thông_tin', 'đời_sống', 'sức_khoẻ']"
sunvn,[],"['game', 'uy_tín', 'trò_chơi']"
taboola,"['world', 'new', 'city', 'platform']",[]
taib52,[],"['game', 'gamer', 'súng']"
taimienphi,[],"['phần_mềm', 'máy_tính', 'thủ_thuật']"
tainhaccho,[],"['beeline', 'mạng', 'kho']"
tamdiem247,[],"['thông_tin', 'tin_tức', 'bạn_đọc']"
taobao,[],"['võng', 'thông_tin', 'mạng']"
techcombank,[],"['ngân_hàng', 'thương_mại']"
teko,"['experiences', 'lives']",[]
tencent,[],"['cổ_phần', 'công_ty', 'hữu_hạn']"
tenjin,"['games', 'deity', 'products', 'religion', 'marketers', 'platform']",[]
tenor,"['videos', 'gifs']","['middle', 'a', 'high']"
thanhhoa,[],"['huyện', 'tỉnh']"
thanhnien,[],"['thời_sự', 'xã_hội', 'tin_tức']"
thongtintuyensinh,[],"['cao_đẳng', 'thông_tin', 'trung_học_chuyên_nghiệp']"
thrtle,"['bony', 'ribs']",[]
thucuc,"['international', 'general']",['cúc']
thutra,[],"['thông_tin', 'thư', 'thanh']"
tienphong,[],"['tiền_phong', 'tin_tức', 'điện_tử']"
tiki,[],"['đồ', 'gia_dụng', 'sách']"
tiktok,[],"['thể_loại', 'nền_tảng', 'ngôn_ngữ']"
tiktokv,['people'],[]
timbantrai,"['menu', 'browser']","['gay', 'đồng_tính', 'gái']"
tinbanxe,[],"['hình_ảnh', 'oto', 'tin_tức']"
tindersparks,"['campaigns', 'revolution']",[]
tinhte,[],"['thiết_bị', 'máy_tính', 'công_nghệ']"
tinmoi24,[],"['thể_thao', 'thời_trang', 'bóng_đá']"
tintuc,[],"['pháp_luật', 'kinh_tế', 'nhà_nước']"
tokhaiyte,[],"['guests', 'domestic', 'declaration']"
top88,[],"['game', 'hình_thức', 'uy_tín']"
trafficfactory,[],"['đường_dẫn', 'tài_khoản', 'tutorial']"
traveloka,"['hotels', 'packages']","['máy_bay', 'vé', 'khách_sạn']"
trendingnow,"['shopping', 'fashion']",[]
truecaller,['basis'],[]
trvdp,"['apache', 'cgi']",[]
tubecup,"['porn', 'video']",[]
tuoitre,[],"['xã_hội', 'chính_trị', 'giáo_dục']"
tut,"['department', 'university']","['huyện', 'diện_tích', 'dân_số']"
tutelatechnologies,"['data', 'technologies']",[]
twitter,[],"['văn_phòng', 'created', 'sketch']"
ucweb,"['services', 'english', 'mobile', 'indonesian']",['khách_hàng']
umeng,['offline'],[]
unity3d,"['engine', 'film', 'development', 'animation', 'platform']","['soon', 'prices', 'products']"
unrulymedia,"['sites', 'advertisers', 'video', 'view']",[]
urbanairship,"['companies', 'services', 'dba', 'date', 'notifications', 'inc']",[]
urekamedia,"['advertisers', 'publishers']",[]
useinsider,"['sales', 'growth']",[]
vdo,"['product', 'label']",['máy_chủ']
vertu,[],"['signature', 'công_ty', 'hãng']"
vertuonline,"['mobile', 'hand', 'phones', 'vertu', 'smartphones']",['thông_tin']
vhandicap,[],"['ứng_dụng', 'hệ_thống', 'quốc_gia']"
vib,[],"['dịch_vụ', 'ngân_hàng', 'khách_hàng']"
viber,[],"['blackberry', 'thiết_bị', 'android']"
vidazoo,"['technology', 'industry']",[]
vietcombank,[],"['ngân_hàng', 'commercial', 'tài_khoản']"
vietinbank,[],"['ngân_hàng', 'dịch_vụ']"
vietlong,"['viet', 'san']","['đại_lý', 'tphcm', 'điện_máy']"
vietnamairlines,"['airlines', 'fares']","['hàng_không', 'vé', 'skytrax']"
vietnammoi,[],"['xã_hội', 'thành_phố', 'đô_thị']"
vietnamnet,[],"['báo_điện_tử', 'xã_hội']"
vietnamnetjsc,"['chi', 'tin']",[]
vietsov,"['resort', 'firefox', 'luxury', 'browser']","['в', 'hệ_thống', 'công_ty']"
vietstock,"['meat', 'livestock']","['quốc_tế', 'kinh_tế', 'tài_chính']"
vietteltelecom,"['innovation', 'creativeness']","['dịch_vụ', 'viễn_thông']"
vietthien,[],"['sâm', 'doanh_nghiệp', 'công_ty']"
vinacomin,[],"['nhà_máy', 'bauxit', 'điện_lực']"
vinid,[],"['hoá_đơn', 'tiền', 'vé']"
vivoglobal,"['gaming', 'products', 'tech', 'stores']",[]
vn2kuvideo,[],[]
vnay,"['site', 'app']",[]
vne,[],"['thông_tin', 'tin_tức', 'công_tác']"
vnexpress,[],"['thông_tin', 'tin_tức', 'ý_kiến']"
vnkuvideo,[],"['phòng', 'speed', 'detect']"
vnpay,[],"['easy', 'starts', 'payment']"
vnpgroup,[],"['cổ_phần', 'hệ_sinh_thái', 'công_ty']"
vnpt,[],"['dịch_vụ', 'viễn_thông']"
vtc,[],"['kênh', 'kênh_truyền_hình', 'đài_truyền_hình']"
vtv,[],"['công_nghệ_thông_tin', 'văn_hoá']"
vtvdigital,[],"['bác_sĩ', 'đăng_tải', 'chiến_dịch']"
vungle,"['mobile', 'monetization']",[]
walmart,"['orders', 'hypermarkets', 'shipping', 'stores']","['nhân_viên', 'công_ty', 'loại_hình']"
wayfair,"['furniture', 'styles', 'commerce', 'things']",[]
weathercn,[],[]
whatsapp,['messages'],"['nền_tảng', 'android', 'ngôn_ngữ']"
windows,"['news', 'announcements']","['màn_hình', 'menu', 'máy_chủ']"
windowsupdate,"['computer', 'software', 'windows', 'system']","['thể_loại', 'phương_pháp', 'update']"
winworker,[],[]
worldtraveler,"['domain', 'luggage', 'rights', 'film', 'billy', 'outfitter']",[]
worldtxt,"['years', 'songs']","['nghệ_danh', 'nghĩa_đen', 'quốc_ngữ']"
wps,"['pdf', 'professional', 'yearly', 'mac', 'office']","['nền_tảng', 'phần_mềm', 'ngôn_ngữ']"
wpu,"['admission', 'paterson', 'william', 'resource', 'university', 'knowledge']",[]
xemlacuoi,"['delusion', 'disorder']",[]
xnxx-,"['porn', 'movies']",[]
xosodaiphat,[],"['xổ_số', 'hôm_nay']"
xskt,[],"['cơ_sở', 'công_ty']"
xtits,"['code', 'captcha']",[]
xxnx,"['videos', 'porno']",[]
xygala,[],[]
yahoo,[],"['thông_tin', 'tin_tức', 'trụ_sở']"
yan,[],"['tin_tức', 'sự_kiện']"
yandex,"['services', 'images', 'video', 'income']","['tổng', 'chủ_sở_hữu', 'công_ty']"
yo88vn,[],"['game', 'android', 'thần_tài']"
yomedia,"['multimedia', 'marketing']",[]
youme,"['shopping', 'essentials']","['doanh_nghiệp', 'dn', 'công_ty']"
youtube,"['videos', 'friends']","['chương_trình', 'ngành', 'công_ty']"
zalo,[],"['màn_hình', 'tính_năng', 'web']"
zaloapp,[],"['tính_năng', 'máy_tính', 'web']"
zigavn,[],"['game', 'cờ', 'cờ_tướng']"
zigzag,[],"['home', 'biking', 'touch']"
zing,[],"['dịch_vụ', 'phần_mềm']"
zingmp3,[],"['dịch_vụ', 'thiết_bị']"
zingnews,[],"['tin_tức', 'tạp_chí']"
zohopublic,"['apps', 'emails']",['thông_tin']
